Time: 8.475000 Joint Angle [-0.06543,  0.57039,  0.47232, -1.48974, -0.26799,  1.14276,  0.44995] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.490000 Joint Angle [-0.06543,  0.57039,  0.47236, -1.48974, -0.26799,  1.14277,  0.44998] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.505000 Joint Angle [-0.06543,  0.57039,  0.47240, -1.48974, -0.26799,  1.14278,  0.45003] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.520000 Joint Angle [-0.06543,  0.57039,  0.47244, -1.48974, -0.26799,  1.14278,  0.45009] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.535000 Joint Angle [-0.06543,  0.57039,  0.47247, -1.48974, -0.26799,  1.14279,  0.45015] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.550000 Joint Angle [-0.06543,  0.57039,  0.47249, -1.48974, -0.26800,  1.14280,  0.45022] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.565000 Joint Angle [-0.06543,  0.57039,  0.47252, -1.48974, -0.26800,  1.14280,  0.45031] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.580000 Joint Angle [-0.06543,  0.57039,  0.47254, -1.48974, -0.26800,  1.14281,  0.45040] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.595000 Joint Angle [-0.06543,  0.57039,  0.47256, -1.48974, -0.26800,  1.14282,  0.45050] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.610000 Joint Angle [-0.06543,  0.57039,  0.47258, -1.48974, -0.26800,  1.14283,  0.45057] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.625000 Joint Angle [-0.06543,  0.57039,  0.47260, -1.48974, -0.26800,  1.14283,  0.45063] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.640000 Joint Angle [-0.06543,  0.57039,  0.47261, -1.48974, -0.26801,  1.14284,  0.45068] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.655000 Joint Angle [-0.06543,  0.57039,  0.47261, -1.48974, -0.26801,  1.14285,  0.45074] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.670000 Joint Angle [-0.06543,  0.57039,  0.47262, -1.48974, -0.26801,  1.14286,  0.45079] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.685000 Joint Angle [-0.06543,  0.57039,  0.47261, -1.48974, -0.26801,  1.14286,  0.45083] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.700000 Joint Angle [-0.06543,  0.57039,  0.47261, -1.48974, -0.26801,  1.14287,  0.45085] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.715000 Joint Angle [-0.06543,  0.57039,  0.47260, -1.48974, -0.26801,  1.14287,  0.45087] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.730000 Joint Angle [-0.06543,  0.57039,  0.47259, -1.48974, -0.26801,  1.14288,  0.45089] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.745000 Joint Angle [-0.06543,  0.57039,  0.47259, -1.48974, -0.26801,  1.14288,  0.45090] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.760000 Joint Angle [-0.06543,  0.57039,  0.47259, -1.48974, -0.26801,  1.14288,  0.45091] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.775000 Joint Angle [-0.06543,  0.57039,  0.47258, -1.48974, -0.26801,  1.14289,  0.45092] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.790000 Joint Angle [-0.06543,  0.57039,  0.47257, -1.48974, -0.26801,  1.14289,  0.45092] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.805000 Joint Angle [-0.06543,  0.57039,  0.47256, -1.48974, -0.26801,  1.14289,  0.45093] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.820000 Joint Angle [-0.06543,  0.57039,  0.47255, -1.48974, -0.26802,  1.14289,  0.45093] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.835000 Joint Angle [-0.06543,  0.57039,  0.47253, -1.48974, -0.26802,  1.14289,  0.45094] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.850000 Joint Angle [-0.06543,  0.57039,  0.47251, -1.48974, -0.26802,  1.14290,  0.45094] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.865000 Joint Angle [-0.06543,  0.57039,  0.47249, -1.48974, -0.26802,  1.14290,  0.45093] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.880000 Joint Angle [-0.06543,  0.57039,  0.47247, -1.48974, -0.26802,  1.14290,  0.45093] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.895000 Joint Angle [-0.06543,  0.57039,  0.47246, -1.48974, -0.26802,  1.14290,  0.45093] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.910000 Joint Angle [-0.06543,  0.57039,  0.47244, -1.48974, -0.26802,  1.14290,  0.45093] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
