Time: 8.040000 Joint Angle [ 0.07437,  0.54450,  0.25711, -1.48751, -0.13300,  1.12279,  0.34892] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.055000 Joint Angle [ 0.07437,  0.54450,  0.25711, -1.48749, -0.13300,  1.12279,  0.34892] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.070000 Joint Angle [ 0.07437,  0.54450,  0.25711, -1.48747, -0.13300,  1.12279,  0.34892] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.085000 Joint Angle [ 0.07437,  0.54450,  0.25711, -1.48745, -0.13300,  1.12279,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.100000 Joint Angle [ 0.07437,  0.54449,  0.25711, -1.48744, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.115000 Joint Angle [ 0.07437,  0.54449,  0.25711, -1.48743, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.130000 Joint Angle [ 0.07437,  0.54449,  0.25711, -1.48742, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.145000 Joint Angle [ 0.07437,  0.54449,  0.25711, -1.48741, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.160000 Joint Angle [ 0.07437,  0.54448,  0.25711, -1.48741, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.175000 Joint Angle [ 0.07437,  0.54448,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.190000 Joint Angle [ 0.07437,  0.54448,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.205000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.220000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.235000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.250000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.265000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.280000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.295000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.310000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.325000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.340000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48740, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.355000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.370000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.385000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.400000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.415000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.430000 Joint Angle [ 0.07437,  0.54447,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.445000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13300,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.460000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.475000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.490000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.505000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.520000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.535000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.550000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
